,State,counts,State,Latitude,Longitude
0,AK,14,AK,61.3025006,-158.7750198
1,AL,236,AL,32.6010112,-86.6807365
2,AR,151,AR,34.7519275,-92.1313784
3,AZ,208,AZ,34.1682185,-111.930907
4,CA,676,CA,37.2718745,-119.2704153
5,CO,158,CO,38.9979339,-105.550567
6,CT,96,CT,41.5187835,-72.757507
7,DC,21,DC,38.8993487,-77.0145666
8,DE,32,DE,39.145251,-75.4189206
9,FL,471,FL,27.9757279,-83.8330166
10,GA,347,GA,32.6781248,-83.2229757
11,HI,40,HI,20.46,-157.505
12,IA,166,IA,41.9383166,-93.389798
13,ID,99,ID,45.4945756,-114.1424303
14,IL,363,IL,39.739318,-89.504139
15,IN,379,IN,39.7662195,-86.441277
16,KS,103,KS,38.4987789,-98.3200779
17,KY,332,KY,37.8222935,-85.7682399
18,LA,237,LA,30.9733766,-91.4299097
19,MA,131,MA,42.0629398,-71.718067
20,MD,159,MD,38.8063524,-77.2684162
21,ME,44,ME,45.2185133,-69.0148656
22,MI,251,MI,44.9435598,-86.4158049
23,MN,148,MN,46.4418595,-93.3655146
24,MO,334,MO,38.3046615,-92.437099
25,MS,82,MS,32.5851062,-89.8772196
26,MT,25,MT,46.6797995,-110.044783
27,NC,358,NC,35.2145629,-79.8912675
28,ND,50,ND,47.4678819,-100.3022655
29,NE,92,NE,41.5008195,-99.680902
30,NH,36,NH,44.0012306,-71.5799231
31,NJ,151,NJ,40.1430058,-74.7311156
32,NM,149,NM,34.1662325,-106.0260685
33,NV,135,NV,38.502032,-117.0230604
34,NY,269,NY,40.7056258,-73.97968
35,OH,543,OH,40.1903624,-82.6692525
36,OK,208,OK,35.3097654,-98.7165585
37,OR,114,OR,44.1419049,-120.5380993
38,PA,283,PA,40.9945928,-77.6046984
39,RI,24,RI,41.5827282,-71.5064508
40,SC,238,SC,33.62505,-80.9470381
41,SD,105,SD,44.2126995,-100.2471641
42,TN,245,TN,35.830521,-85.9785989
43,TX,634,TX,31.1693363,-100.0768425
44,UT,159,UT,39.4997605,-111.547028
45,VA,327,VA,38.0033855,-79.4587861
46,VT,43,VT,43.8717545,-72.4477828
47,WA,209,WA,38.8993487,-77.0145665
48,WI,186,WI,44.7862968,-89.8267049
49,WV,93,WV,38.9201705,-80.1816905
50,WY,41,WY,43.000325,-107.5545669
